GameID,Turn,Player,Action,Target,Success,Challenged,Blocked
61,2,0,Exchange,-,Yes,No,No
61,3,1,Exchange,-,No,Yes,No
62,0,0,Exchange,-,No,Yes,No
62,1,1,Tax,-,Yes,No,No
62,2,0,Exchange,-,No,Yes,No
64,0,0,Income,-,Yes,No,No
64,1,1,Tax,-,No,Yes,No
64,2,0,Income,-,Yes,No,No
64,3,1,Tax,-,No,Yes,No
65,0,0,Tax,-,Yes,No,No
65,1,1,Steal,0,No,Yes,0
65,2,0,Assassinate,1,No,Yes,No
65,3,1,Steal,0,No,Yes,No
63,0,0,Steal,1,No,No,1
63,1,1,Tax,-,Yes,No,No
63,2,0,Income,-,Yes,No,No
63,3,1,Steal,0,No,No,0
63,4,0,Exchange,-,Yes,No,No
63,5,1,Tax,-,Yes,No,No
63,6,0,Exchange,-,Yes,No,No
63,7,1,Coup,0,Yes,No,No
63,8,0,Tax,-,Yes,No,No
63,9,1,Tax,-,Yes,No,No
63,10,0,Steal,1,No,Yes,No
66,0,0,Exchange,-,Yes,No,No
66,1,1,Tax,-,Yes,No,No
66,2,0,Exchange,-,Yes,No,No
66,3,1,Income,-,Yes,No,No
66,4,0,Foreign Aid,-,No,No,1
66,5,1,Assassinate,0,No,No,0
66,6,0,Exchange,-,Yes,No,No
66,7,1,Foreign Aid,-,Yes,No,No
66,8,0,Steal,1,No,No,1
50,0,0,Foreign Aid,-,No,No,1
50,1,1,Tax,-,Yes,Yes,No
50,2,0,Exchange,-,No,Yes,No
68,0,0,Income,-,Yes,No,No
68,1,1,Tax,-,No,Yes,No
68,2,0,Steal,1,No,No,1
68,3,1,Tax,-,No,Yes,No
67,0,0,Tax,-,Yes,No,No
67,1,1,Exchange,-,Yes,No,No
67,2,0,Tax,-,No,Yes,No
67,3,1,Tax,-,Yes,No,No
67,4,0,Assassinate,1,No,Yes,No
70,0,0,Steal,1,No,Yes,No
70,1,1,Income,-,Yes,No,No
70,2,0,Exchange,-,No,Yes,No
69,0,0,Income,-,Yes,No,No
69,1,1,Steal,0,No,Yes,0
69,2,0,Tax,-,Yes,No,No
69,3,1,Tax,-,Yes,No,No
69,4,0,Tax,-,Yes,No,No
69,5,1,Steal,0,No,No,0
69,6,0,Tax,-,Yes,No,No
69,7,1,Steal,0,No,No,0
